Date,"Price : HR Plate, Exy-Mumbai, India : 5-10mm,Gr E250 Br. INR",Spread: HRC vs HR Plate,Spread: cRC vs hRC,"CNF_MET COKE, 64% CNF East coast India, China ,25-90mm $/t   90","Fe 62 : Iron Ore Fines, CNF Rizhao, China : Fines, Fe 61% (Australia Origin) 5540","HCC : Coking Coal, CNF Paradip, India : HCC 64 Mid Vol, Australia-origin","Pellet Index, PELLEX, DAP-Raipur, India 6-20 mm, Fe 63% 1401","Mumbai: Scrap Price 80:20 INR/t, 1047","Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428",HRC-FOB-Rizhao-China-fob-USD 2.5 mm,"HRC, FOB Black Sea, Russia : 3mm,SAE1006 , 58","HRC, Exy-Delhi, India, 2.5-8mm / CTL, IS2062, Gr E250 Br.","Platts North European HRC, EXW Ruhr $/t","CRC, Exy-Mumbai, India,0.90mm / CTL, IS 513, CR1",India INR/USD,Vessel Freight,BDI,NCDEX Steel Future INR/t,"HRC, CFR Abu Dhabi, UAE","Billet, DAP-Mumbai, India,100x100mm, IS 2831",India Production Quantity of Flat Steel in MnT,India weekly HRC Imports t,India weekly Exports HRC t,Apparant Consumption,"HRC, Exy-Mumbai, India, 2.5-8mm / CTL, IS2062, Gr E250 Br."
2013-01-06,40712.8593989596,287.140601040403,3000.0,291.5,133.5,140.333333333333,8800.0,22680.0,1968.087029999,545.0,540.0,39400.0,647.8716,44000.0,54.875,10.6,760,33894.0,630.0,32040.0,885209.26,80710.8738501971,48831.5607011148,917088.573149082,41000.0
2013-01-13,40510.7824493774,289.217550622598,4900.0,297.75,133.5,149.125,9100.0,22883.3333333333,1968.087029999,585.0,545.0,39700.0,643.00443,45700.0,53.745,11.2,837,34096.6666666667,630.0,32216.67,905644.27,91070.252956636,50198.685963397,946515.836993239,40800.0
2013-01-20,40511.8608936762,288.139106323797,4900.0,301.5,133.5,151.75,9100.0,22700.0,1968.087029999,587.5,550.0,39700.0,662.94007,45700.0,53.8,10.9,798,33496.6666666667,630.0,32116.67,905644.27,95102.8999406553,53680.8421829299,947066.327757725,40800.0
2013-01-27,40512.9324499744,287.067550025597,4900.0,302.33,133.5,154.333333333333,9100.0,23000.0,1968.087029999,594.64,550.0,39700.0,659.7657,45700.0,53.17,10.7,750,32660.0,630.0,31940.0,905644.27,85216.7362553516,61816.0665084142,929044.939746937,40800.0
2013-02-03,40513.9972017555,286.002798244503,4900.0,302.25,133.5,156.7,9100.0,22750.0,1968.087029999,597.5,550.0,40500.0,674.37,45700.0,53.595,10.4,748,31986.6666666667,630.0,31633.33,924873.92,74908.7904285532,70092.2928977152,929690.417530838,40800.0
2013-02-10,42246.5055604803,253.494439519702,3200.0,302.0,133.5,158.0,9200.0,22700.0,1866.56178669683,599.17,551.67,40200.0,678.6373,45700.0,54.325,10.4,753,31878.3333333333,630.0,31500.0,950513.45,64600.8446017549,78368.5192870162,936745.775314739,42500.0
2013-02-17,42248.4612840528,251.538715947201,3200.0,302.0,133.5,157.0,9200.0,22800.0,1866.56178669683,595.0,576.67,39700.0,675.05914,45700.0,54.28,10.8,740,32416.6666666667,630.0,31833.33,950513.45,54878.7785671896,86201.6325740143,919190.595993175,42500.0
2013-02-24,42250.1325724937,249.867427506302,3200.0,302.0,133.5,156.0,9200.0,22700.0,1815.79916504575,608.0,568.0,39000.0,672.396275,45700.0,54.905,11.1,776,32220.0,630.0,31650.0,950513.45,52187.2700394218,88717.3886333771,913983.331406045,42500.0
2013-03-03,42251.6235682205,248.376431779499,3200.0,300.67,133.5,155.25,9200.0,22450.0,1815.79916504575,614.0,565.0,39000.0,665.0391,45700.0,54.35,11.0,843,31963.3333333333,630.0,31641.67,935299.37,51448.694152431,89756.1010183968,896991.963134034,42500.0
2013-03-10,42254.5361858142,245.463814185801,3200.0,301.67,133.5,153.0,9000.0,22483.3333333333,1765.03654339466,615.0,564.6,39000.0,654.50381,45700.0,54.03,11.3,892,31968.3333333333,630.0,31533.33,915013.92,50710.1182654402,90794.8134034165,874929.224862024,42500.0
