Date,WPI_MS_Bright_Bars,BF Rebar Production,"Rebar, Exy-Hyderabad, India : 12-32mm, BF Route  ,IS 1786 Fe 500D","Rebar, Exy-Delhi, India : 12-32mm, BF Route,IS 1786 Fe 500D","Rebar, Exy-Chennai, India : 12-32mm, BF Route,IS 1786 Fe 500D","Rebar, Exw-Jalna, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Mandi Gobindgarh, India : 12-25mm, IF Route,Fe 500, IS 1786","Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Mumbai: Scrap Price 80:20 INR/t, 1047",Pellet_Exw_Raipur,"Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1",Ingot - Mumbai ingot-dap-mumbai-india,"Billet, DAP-Mumbai, India,100x100mm, IS 2831","HCC : Coking Coal, CNF Paradip, India : HCC 64 Mid Vol, Australia-origin","CNF_MET COKE, 64% CNF East coast India, China ,25-90mm $/t   90","Price : Rebar, Exy-Mumbai, India : 12-32mm, BF Route ,IS 1786 Fe 500D"
2025-02-09,135.9,0.26875,51000.0,51800.0,51000.0,46866.6666666667,42183.3333333333,47083.3333333333,47216.6666666667,4800.0,32100.0,9800.0,32900.0,26966.6666666667,24775.0,41333.3333333333,41900.0,148.8,253.0,52700
2025-02-16,136.3,0.26875,51100.0,52600.0,50900.0,47233.3333333333,41966.6666666667,47066.6666666667,47016.6666666667,4850.0,32433.3333333333,9800.0,32933.3333333333,26750.0,24950.0,42133.3333333333,42650.0,144.6,250.0,52600
2025-02-23,136.7,0.26875,51200.0,52700.0,51000.0,47066.6666666667,42650.0,47750.0,47066.6666666667,5000.0,32500.0,9800.0,33108.3333333333,26550.0,24583.3333333333,42066.6666666667,42616.6666666667,143.0,245.0,53200
2025-03-02,137.07,0.269319,52000.0,53600.0,51600.0,47766.6666666667,42583.3333333333,48366.6666666667,46783.3333333333,5050.0,32716.6666666667,9800.0,34875.0,26991.6666666667,24925.0,42400.0,43016.6666666667,142.6,228.0,54300
2025-03-09,137.03,0.270742,53600.0,55100.0,52700.0,48416.6666666667,43416.6666666667,48950.0,47066.6666666667,5100.0,32400.0,9800.0,35750.0,27516.6666666667,25191.6666666667,42383.3333333333,42916.6666666667,143.0,235.0,54400
2025-03-16,137.0,0.270742,53700.0,55100.0,52900.0,49000.0,43683.3333333333,49300.0,47050.0,5100.0,32400.0,9800.0,36275.0,27512.5,25162.5,42225.0,42800.0,142.5,235.0,55000
2025-03-23,136.97,0.270742,54600.0,56200.0,53700.0,49200.0,43525.0,49450.0,46950.0,5100.0,32666.6666666667,9900.0,35833.3333333333,28000.0,25716.6666666667,42350.0,42916.6666666667,139.2,233.0,56000
2025-03-30,136.93,0.270742,55100.0,56800.0,55500.0,49433.3333333333,44600.0,49350.0,47483.3333333333,5200.0,32900.0,10100.0,35883.3333333333,28383.3333333333,26133.3333333333,42566.6666666667,43150.0,138.6,233.0,57000
2025-04-06,136.38,0.234077,56400.0,57800.0,56600.0,49700.0,45100.0,49366.6666666667,48333.3333333333,5200.0,33366.6666666667,10200.0,36166.6666666667,28983.3333333333,26425.0,43533.3333333333,44116.6666666667,139.0,233.0,57200
2025-04-13,135.86,0.227967,56400.0,58300.0,56700.0,49466.6666666667,45966.6666666667,49533.3333333333,48983.3333333333,5200.0,33650.0,10200.0,36241.6666666667,28233.3333333333,26175.0,43566.6666666667,44100.0,142.6,233.0,57100
2025-04-20,135.34,0.227967,56700.0,58000.0,56200.0,49383.3333333333,45850.0,49400.0,48783.3333333333,5250.0,33916.6666666667,10200.0,35925.0,27975.0,25691.6666666667,43416.6666666667,43916.6666666667,146.0,232.0,56900
2025-04-27,134.82,0.227967,56100.0,57400.0,55900.0,49450.0,45366.6666666667,49333.3333333333,48500.0,5300.0,33600.0,10000.0,35541.6666666667,27683.3333333333,25441.6666666667,43250.0,43766.6666666667,148.5,232.0,56800
2025-05-04,134.06,0.224926,56300.0,57300.0,56000.0,49000.0,45116.6666666667,49416.6666666667,48666.6666666667,5300.0,33366.6666666667,9850.0,34550.0,26900.0,24350.0,42550.0,43083.3333333333,150.5,232.0,56700
2025-05-11,133.82,0.222645,55600.0,57400.0,55600.0,48683.3333333333,44600.0,49133.3333333333,48133.3333333333,5300.0,33000.0,9700.0,33841.6666666667,26666.6666666667,24316.6666666667,42266.6666666667,42816.6666666667,149.4,232.0,56400
