Date,WPI_MS_Bright_Bars,BF Rebar Production,"Rebar, Exy-Hyderabad, India : 12-32mm, BF Route  ,IS 1786 Fe 500D","Rebar, Exy-Delhi, India : 12-32mm, BF Route,IS 1786 Fe 500D","Rebar, Exy-Chennai, India : 12-32mm, BF Route,IS 1786 Fe 500D","Rebar, Exw-Jalna, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Mandi Gobindgarh, India : 12-25mm, IF Route,Fe 500, IS 1786","Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Mumbai: Scrap Price 80:20 INR/t, 1047",Pellet_Exw_Raipur,"Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1",Ingot - Mumbai ingot-dap-mumbai-india,"Billet, DAP-Mumbai, India,100x100mm, IS 2831","HCC : Coking Coal, CNF Paradip, India : HCC 64 Mid Vol, Australia-origin","CNF_MET COKE, 64% CNF East coast India, China ,25-90mm $/t   90","Price : Rebar, Exy-Mumbai, India : 12-32mm, BF Route ,IS 1786 Fe 500D"
2013-01-06,100.1,0.0327455385528379,39300.0,38700.0,39300.0,35100.0,34200.0,36125.0,36750.0,1968.087029999,22680.0,8800.0,24000.0,24500.0,20100.0,31866.6666666667,32040.0,140.333333333333,291.5,39600
2013-01-13,100.18,0.0327455385528379,39300.0,38700.0,39300.0,35866.6666666667,34700.0,36583.3333333333,36750.0,1968.087029999,22883.3333333333,9100.0,24000.0,24450.0,20133.3333333333,31957.1428571429,32216.67,149.125,297.75,39600
2013-01-20,100.55,0.0327455385528379,39300.0,38700.0,39300.0,37033.3333333333,33633.3333333333,36700.0,36300.0,1968.087029999,22700.0,9100.0,24000.0,23900.0,19716.6666666667,31928.5714285714,32116.67,151.75,301.5,39800
2013-01-27,100.92,0.0327455385528379,39300.0,38700.0,39300.0,37100.0,32980.0,36640.0,35890.0,1968.087029999,23000.0,9100.0,24000.0,23140.0,19220.0,31700.0,31940.0,154.333333333333,302.33,39800
2013-02-03,100.84,0.0327455385528379,39300.0,38700.0,39300.0,35950.0,32933.3333333333,36350.0,35666.6666666667,1968.087029999,22750.0,9100.0,24000.0,22700.0,18950.0,31385.7142857143,31633.33,156.7,302.25,39800
2013-02-10,100.38,0.0327455385528379,39300.0,38700.0,39300.0,35700.0,32766.6666666667,35966.6666666667,35650.0,1866.56178669683,22700.0,9200.0,24000.0,23220.0,19100.0,31385.7142857143,31500.0,158.0,302.0,39800
2013-02-17,99.92,0.0327455385528379,39400.0,38900.0,39400.0,36033.3333333333,33150.0,36033.3333333333,35866.6666666667,1866.56178669683,22800.0,9200.0,24300.0,23516.6666666667,19233.3333333333,31542.8571428571,31833.33,157.0,302.0,39800
2013-02-24,99.46,0.0327455385528379,39400.0,38900.0,39400.0,36050.0,33233.3333333333,35550.0,36166.6666666667,1815.79916504575,22700.0,9200.0,24400.0,23433.3333333333,19200.0,31435.7142857143,31650.0,156.0,302.0,39800
2013-03-03,99.18,0.0327455385528379,39400.0,38900.0,39400.0,35833.3333333333,32933.3333333333,35650.0,36050.0,1815.79916504575,22450.0,9200.0,24200.0,23260.0,19080.0,31385.7142857143,31641.67,155.25,300.67,39800
2013-03-10,99.37,0.0327455385528379,39400.0,38900.0,39400.0,35633.3333333333,32716.6666666667,35533.3333333333,35975.0,1765.03654339466,22483.3333333333,9000.0,24200.0,23100.0,19066.6666666667,31357.1428571429,31533.33,153.0,301.67,39800
