Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047",Scrap: Jalna - HMS(80:20),"Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1",Ingot - Mumbai ingot-dap-mumbai-india,"Billet, DAP-Mumbai, India,100x100mm, IS 2831","Rebar, Exw-Jalna, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Mandi Gobindgarh, India : 12-25mm, IF Route,Fe 500, IS 1786","HRC, Exy-Mumbai, India, 2.5-8mm / CTL, IS2062, Gr E250 Br.",WPI_MS_Bright_Bars,Rebar production IF,"Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786"
2013-01-06,1968.087029999,70.3058089560859,8800.0,22680.0,23820.0,24500.0,20100.0,31866.6666666667,32040.0,35100.0,34200.0,36750.0,41000.0,100.1,0.244637785596201,36125.0
2013-01-13,1968.087029999,71.6821367418307,9100.0,22883.3333333333,24200.0,24450.0,20133.3333333333,31957.1428571429,32216.67,35866.6666666667,34700.0,36750.0,40800.0,100.18,0.244637785596201,36583.3333333333
2013-01-20,1968.087029999,71.6879948959215,9100.0,22700.0,24133.3333333333,23900.0,19716.6666666667,31928.5714285714,32116.67,37033.3333333333,33633.3333333333,36300.0,40800.0,100.55,0.244637785596201,36700.0
2013-01-27,1968.087029999,69.4527708563053,9100.0,23000.0,24000.0,23140.0,19220.0,31700.0,31940.0,37100.0,32980.0,35890.0,40800.0,100.92,0.244637785596201,36640.0
2013-02-03,1968.087029999,69.4648691821517,9100.0,22750.0,23866.6666666667,22700.0,18950.0,31385.7142857143,31633.33,35950.0,32933.3333333333,35666.6666666667,40800.0,100.84,0.244637785596201,36350.0
2013-02-10,1866.56178669683,69.4809852628699,9200.0,22700.0,23933.3333333333,23220.0,19100.0,31385.7142857143,31500.0,35700.0,32766.6666666667,35650.0,42500.0,100.38,0.244637785596201,35966.6666666667
2013-02-17,1866.56178669683,69.4809852628699,9200.0,22800.0,24000.0,23516.6666666667,19233.3333333333,31542.8571428571,31833.33,36033.3333333333,33150.0,35866.6666666667,42500.0,99.92,0.244637785596201,36033.3333333333
2013-02-24,1815.79916504575,70.6231829271572,9200.0,22700.0,23933.3333333333,23433.3333333333,19200.0,31435.7142857143,31650.0,36050.0,33233.3333333333,36166.6666666667,42500.0,99.46,0.244637785596201,35550.0
2013-03-03,1815.79916504575,70.6423549439034,9200.0,22450.0,23800.0,23260.0,19080.0,31385.7142857143,31641.67,35833.3333333333,32933.3333333333,36050.0,42500.0,99.18,0.244637785596201,35650.0
2013-03-10,1765.03654339466,70.6552670562864,9000.0,22483.3333333333,23866.6666666667,23100.0,19066.6666666667,31357.1428571429,31533.33,35633.3333333333,32716.6666666667,35975.0,42500.0,99.37,0.244637785596201,35533.3333333333
