Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047",Scrap: Jalna - HMS(80:20),"Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1",Ingot - Mumbai ingot-dap-mumbai-india,"Billet, DAP-Mumbai, India,100x100mm, IS 2831","Rebar, Exw-Jalna, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786","Rebar, Exw-Mandi Gobindgarh, India : 12-25mm, IF Route,Fe 500, IS 1786","HRC, Exy-Mumbai, India, 2.5-8mm / CTL, IS2062, Gr E250 Br.",WPI_MS_Bright_Bars,Rebar production IF,"Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786"
2025-02-09,4800.0,81.8,9800.0,32100.0,31650.0,26966.6666666667,24775.0,41333.3333333333,41900.0,46866.6666666667,42183.3333333333,47216.6666666667,48600.0,135.9,0.8005,47083.3333333333
2025-02-16,4850.0,82.8,9800.0,32433.3333333333,31666.6666666667,26750.0,24950.0,42133.3333333333,42650.0,47233.3333333333,41966.6666666667,47016.6666666667,48500.0,136.3,0.8005,47066.6666666667
2025-02-23,5000.0,80.6,9800.0,32500.0,31716.6666666667,26550.0,24583.3333333333,42066.6666666667,42616.6666666667,47066.6666666667,42650.0,47066.6666666667,48350.0,136.7,0.8005,47750.0
2025-03-02,5050.0,79.2,9800.0,32716.6666666667,31933.3333333333,26991.6666666667,24925.0,42400.0,43016.6666666667,47766.6666666667,42583.3333333333,46783.3333333333,48200.0,137.07,0.800044,48366.6666666667
2025-03-09,5100.0,77.6,9800.0,32400.0,32066.6666666667,27516.6666666667,25191.6666666667,42383.3333333333,42916.6666666667,48416.6666666667,43416.6666666667,47066.6666666667,48750.0,137.03,0.798903,48950.0
2025-03-16,5100.0,77.375,9800.0,32400.0,32375.0,27512.5,25162.5,42225.0,42800.0,49000.0,43683.3333333333,47050.0,49600.0,137.0,0.798903,49300.0
2025-03-23,5100.0,76.9,9900.0,32666.6666666667,32616.6666666667,28000.0,25716.6666666667,42350.0,42916.6666666667,49200.0,43525.0,46950.0,50650.0,136.97,0.798903,49450.0
2025-03-30,5200.0,75.9,10100.0,32900.0,32866.6666666667,28383.3333333333,26133.3333333333,42566.6666666667,43150.0,49433.3333333333,44600.0,47483.3333333333,52000.0,136.93,0.798903,49350.0
2025-04-06,5200.0,75.8,10200.0,33366.6666666667,33300.0,28983.3333333333,26425.0,43533.3333333333,44116.6666666667,49700.0,45100.0,48333.3333333333,52350.0,136.38,0.776929,49366.6666666667
2025-04-13,5200.0,75.7,10200.0,33650.0,32900.0,28233.3333333333,26175.0,43566.6666666667,44100.0,49466.6666666667,45966.6666666667,48983.3333333333,51900.0,135.86,0.773267,49533.3333333333
2025-04-20,5250.0,75.8,10200.0,33916.6666666667,33000.0,27975.0,25691.6666666667,43416.6666666667,43916.6666666667,49383.3333333333,45850.0,48783.3333333333,51400.0,135.34,0.773267,49400.0
2025-04-27,5300.0,76.3,10000.0,33600.0,32966.6666666667,27683.3333333333,25441.6666666667,43250.0,43766.6666666667,49450.0,45366.6666666667,48500.0,52050.0,134.82,0.773267,49333.3333333333
2025-05-04,5300.0,75.8,9850.0,33366.6666666667,32783.3333333333,26900.0,24350.0,42550.0,43083.3333333333,49000.0,45116.6666666667,48666.6666666667,52850.0,134.06,0.791916,49416.6666666667
2025-05-11,5300.0,74.1,9700.0,33000.0,32716.6666666667,26666.6666666667,24316.6666666667,42266.6666666667,42816.6666666667,48683.3333333333,44600.0,48133.3333333333,52500.0,133.82,0.805903,49133.3333333333
2025-05-18,5100.0,73.5,9700.0,32866.6666666667,32700.0,26183.3333333333,24275.0,42266.6666666667,42800.0,48366.6666666667,44116.6666666667,47783.3333333333,51950.0,133.58,0.805903,48266.6666666667
