Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047","Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1","Ingot, Exw-Raipur, India, 3.5 x 4.5 Inch, IS 2830",WPI_MS_Bright_Bars,"Billet, DAP-Mumbai, India,100x100mm, IS 2831",Rebar production IF,"Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786"
2025-02-09,4800.0,81.8,9800.0,32100.0,32900.0,26966.6666666667,47083.3333333333,24775.0,38608.3333333333,135.9,41900.0,0.8005,42183.3333333333
2025-02-16,4850.0,82.8,9800.0,32433.3333333333,32933.3333333333,26750.0,47066.6666666667,24950.0,39008.3333333333,136.3,42650.0,0.8005,41966.6666666667
2025-02-23,5000.0,80.6,9800.0,32500.0,33108.3333333333,26550.0,47750.0,24583.3333333333,38825.0,136.7,42616.6666666667,0.8005,42650.0
2025-03-02,5050.0,79.2,9800.0,32716.6666666667,34875.0,26991.6666666667,48366.6666666667,24925.0,39508.3333333333,137.07,43016.6666666667,0.800044,42583.3333333333
2025-03-09,5100.0,77.6,9800.0,32400.0,35750.0,27516.6666666667,48950.0,25191.6666666667,39691.6666666667,137.03,42916.6666666667,0.798903,43416.6666666667
2025-03-16,5100.0,77.375,9800.0,32400.0,36275.0,27512.5,49300.0,25162.5,39637.5,137.0,42800.0,0.798903,43683.3333333333
2025-03-23,5100.0,76.9,9900.0,32666.6666666667,35833.3333333333,28000.0,49450.0,25716.6666666667,40350.0,136.97,42916.6666666667,0.798903,43525.0
2025-03-30,5200.0,75.9,10100.0,32900.0,35883.3333333333,28383.3333333333,49350.0,26133.3333333333,40875.0,136.93,43150.0,0.798903,44600.0
2025-04-06,5200.0,75.8,10200.0,33366.6666666667,36166.6666666667,28983.3333333333,49366.6666666667,26425.0,41891.6666666667,136.38,44116.6666666667,0.776929,45100.0
2025-04-13,5200.0,75.7,10200.0,33650.0,36241.6666666667,28233.3333333333,49533.3333333333,26175.0,41391.6666666667,135.86,44100.0,0.773267,45966.6666666667
2025-04-20,5250.0,75.8,10200.0,33916.6666666667,35925.0,27975.0,49400.0,25691.6666666667,40900.0,135.34,43916.6666666667,0.773267,45850.0
2025-04-27,5300.0,76.3,10000.0,33600.0,35541.6666666667,27683.3333333333,49333.3333333333,25441.6666666667,40591.6666666667,134.82,43766.6666666667,0.773267,45366.6666666667
2025-05-04,5300.0,75.8,9850.0,33366.6666666667,34550.0,26900.0,49416.6666666667,24350.0,40100.0,134.06,43083.3333333333,0.791916,45116.6666666667
2025-05-11,5300.0,74.1,9700.0,33000.0,33841.6666666667,26666.6666666667,49133.3333333333,24316.6666666667,39833.3333333333,133.82,42816.6666666667,0.805903,44600.0
2025-05-18,5100.0,73.5,9700.0,32866.6666666667,33625.0,26183.3333333333,48266.6666666667,24275.0,39591.6666666667,133.58,42800.0,0.805903,44116.6666666667
