Date,"Iron Ore Fines, Odisha Index, India, 0-10mm, Fe 62%","Coking Coal, CNF Paradip, India, 0-40mm, HCC 64 Mid Vol, Australia","Melting Scrap, DAP-Mumbai, India, HMS(80:20)","HRC, FOB Rizhao, China, 2.5mm","HRC, FOB Black Sea, Russia, 3mm, SAE1006","Platts North European HRC, EXW Ruhr","CRC, Exy-Mumbai, India, IS 513, CR1,0.90mm / CTL",India Production Quantity of Flat Steel in MT,India weekly HRC Imports MT,India weekly HRC Exports MT,"HRC, Exy-Mumbai, India, 2.5-8mm / CTL, IS2062, Gr E250 Br."
6-Jan-13,1968,140,22680,545,540,648,44000,865914,80711,48832,41000
13-Jan-13,1968,149,22883,585,545,643,45700,898809,91070,50199,40800
20-Jan-13,1968,152,22700,588,550,663,45700,918317,95103,53681,40800
27-Jan-13,1968,154,23000,595,550,660,45700,908375,85217,61816,40800
3-Feb-13,1968,157,22750,598,550,674,45700,897540,74909,70092,40800
10-Feb-13,1867,158,22700,599,552,679,45700,886705,64601,78369,42500
17-Feb-13,1867,157,22800,595,577,675,45700,877414,54879,86202,42500
24-Feb-13,1816,156,22700,608,568,672,45700,886649,52187,88717,42500
3-Mar-13,1816,155,22450,614,565,665,45700,901030,51449,89756,42500
10-Mar-13,1765,153,22483,615,565,655,45700,915412,50710,90795,42500
17-Mar-13,1782,152,22567,615,562,652,45700,928302,49866,90968,42500
24-Mar-13,1782,145,22533,608,559,646,45700,923299,47761,80752,42500
31-Mar-13,1782,143,22500,589,557,637,46200,913326,45305,67649,42500
7-Apr-13,1782,140,22650,580,557,630,46200,903353,42849,54547,42500
14-Apr-13,1782,137,22633,570,557,631,46200,893380,40393,41445,42500
21-Apr-13,1782,135,22700,570,557,626,45700,889685,37008,34016,42500
28-Apr-13,1782,133,22500,570,557,617,45700,894361,32384,34152,42500
5-May-13,1782,133,22133,570,545,615,45700,899036,27761,34287,42500
12-May-13,1782,129,21700,540,525,616,45700,903712,23137,34423,42500
19-May-13,1782,128,21450,540,525,604,45700,906051,19409,33784,42500
26-May-13,1782,128,21400,540,525,595,45700,899980,18904,30361,42500
2-Jun-13,1782,128,21650,508,501,588,45700,893209,18667,26706,42500
9-Jun-13,1782,125,22200,498,498,582,45700,886437,18430,23051,42500
16-Jun-13,1782,125,22533,498,498,584,45700,879952,18270,19582,42500
23-Jun-13,1748,120,22883,494,500,582,45700,882933,20655,22257,42500
30-Jun-13,1735,117,22683,485,503,564,45700,890217,24195,27726,42500
7-Jul-13,1701,116,22000,490,503,557,46200,897501,27736,33194,42500
14-Jul-13,1701,117,21700,515,508,540,46700,904784,31277,38662,42500
21-Jul-13,1701,116,21717,515,513,547,46700,907759,32775,43468,42500
28-Jul-13,1701,119,21900,525,516,560,46700,904989,31551,47391,42500
4-Aug-13,1701,123,21700,540,520,568,46700,902219,30327,51313,42500
11-Aug-13,1667,125,21600,540,520,579,48148,899448,29103,55235,42500
18-Aug-13,1667,130,21540,540,522,582,48148,896874,28291,59326,42500
25-Aug-13,1667,132,21500,540,535,587,48147,895508,30022,64452,42500
1-Sep-13,1667,134,22125,550,533,594,48146,894339,32166,69745,42500
8-Sep-13,1701,136,22167,550,530,599,47251,893169,34310,75039,41700
15-Sep-13,1718,136,22450,550,530,608,47251,891999,36453,80333,41700
22-Sep-13,1718,135,22500,545,529,614,47251,890062,36902,80340,41700
29-Sep-13,1718,136,22700,540,527,623,47252,887550,36078,76382,41700
6-Oct-13,1718,136,22840,530,527,625,47253,885037,35255,72423,41700
13-Oct-13,1718,133,22500,532,525,623,47254,882524,34431,68464,41700
20-Oct-13,1785,132,22000,520,515,622,48709,881581,33035,66618,43000
27-Oct-13,1785,129,22000,520,515,620,48710,884093,30379,69419,43000
3-Nov-13,1785,130,22000,520,512,611,48710,886710,27684,72361,43000
10-Nov-13,1785,129,22140,520,515,598,48711,889326,24989,75303,43000
17-Nov-13,1785,129,22100,520,519,601,47594,892487,22591,77977,42000
24-Nov-13,1785,127,22367,520,523,604,47596,902185,23747,77433,42000
1-Dec-13,1785,126,22633,520,525,607,47601,913699,25891,75994,42000
8-Dec-13,1853,124,22700,525,527,616,47493,925213,28035,74556,41900
15-Dec-13,1853,121,23217,528,530,622,47495,936727,30178,73118,41900
22-Dec-13,1982,120,23400,530,531,618,47496,942097,31048,67836,41900
29-Dec-13,2110,120,23675,530,535,617,47498,942858,30961,59671,41900
5-Jan-14,2110,118,23900,530,535,614,48174,943619,30875,51507,42500
12-Jan-14,2110,119,24380,530,535,610,48847,944380,30789,43342,43100
19-Jan-14,2110,118,24600,530,535,613,48850,942443,30461,36550,43100
26-Jan-14,2110,116,24633,530,530,619,48850,930794,29263,34700,43100
2-Feb-14,2110,115,25100,530,527,623,48851,918335,27992,33262,43100
9-Feb-14,2110,115,25483,530,527,617,49858,905876,26721,31824,44000
16-Feb-14,2110,112,25550,530,525,620,49859,894157,25481,30688,44000
23-Feb-14,2110,111,25500,530,525,625,49860,906821,25276,39507,44000
2-Mar-14,2110,110,25500,530,520,622,49861,930569,25540,52851,44000
9-Mar-14,2110,107,25500,525,520,619,49862,954317,25804,66196,44000
16-Mar-14,2110,101,25500,525,517,621,50423,977333,26102,79051,44500
23-Mar-14,2110,98,25500,520,514,607,51039,976171,27508,75777,45050
30-Mar-14,2110,98,25300,520,510,599,51041,964019,29419,65170,45050
6-Apr-14,2027,99,25300,520,508,594,51041,951867,31329,54563,45050
13-Apr-14,1985,101,25542,520,508,597,51039,939715,33240,43957,45050
20-Apr-14,1985,101,26133,522,510,597,50086,932176,34009,37455,44200
27-Apr-14,1985,102,26300,520,513,592,50085,934786,32267,39984,44200
4-May-14,1985,101,26333,520,510,595,50086,937703,30450,42786,44200
11-May-14,1985,101,26400,520,514,598,50087,940620,28632,45589,44200
18-May-14,1985,101,26250,515,514,590,50089,942387,27536,48334,44200
25-May-14,2154,100,26267,515,520,588,50089,937063,30883,50723,44200
1-Jun-14,2154,99,26300,510,520,582,50089,930588,34951,53054,44200
8-Jun-14,2154,99,25983,510,520,578,50087,924113,39018,55386,44200
15-Jun-14,2154,99,25500,510,535,571,50085,917638,43086,57717,44200
22-Jun-14,2154,97,25200,506,535,570,50085,916911,41372,55138,44200
29-Jun-14,2154,95,25233,505,520,569,50085,920494,35320,48875,44200
6-Jul-14,2154,93,25558,505,518,568,49079,924077,29269,42612,43300
13-Jul-14,2154,92,25400,504,518,565,49302,927660,23217,36350,43500
20-Jul-14,2154,94,25100,510,518,563,49303,931856,20144,32582,43500
27-Jul-14,2154,93,24817,510,518,559,48520,937400,23622,34303,42800
3-Aug-14,2154,93,24033,510,520,556,48743,942985,27299,36190,43000
10-Aug-14,2154,93,24225,510,530,558,48520,948570,30976,38078,42800
17-Aug-14,2154,93,24360,510,530,559,48520,953473,34482,39928,42800
24-Aug-14,2154,92,24850,510,530,555,48185,950192,35941,41343,42500
31-Aug-14,2323,94,24817,508,540,553,48185,944638,36831,42636,42500
7-Sep-14,2408,95,25017,506,540,551,48186,939084,37721,43930,42500
14-Sep-14,2493,94,25420,505,540,546,48186,933529,38611,45223,42500
21-Sep-14,2493,95,25217,495,540,549,48186,930192,40501,45352,42500
28-Sep-14,2493,97,25383,495,540,543,48187,929812,43725,43927,42500
5-Oct-14,2493,97,25400,490,535,536,48188,929431,46949,42502,42500
12-Oct-14,2493,98,24900,487,535,536,48189,929051,50173,41077,42500
19-Oct-14,2493,97,24180,485,535,538,48189,928723,51616,39244,42500
26-Oct-14,2493,97,24000,480,535,534,48190,928584,46647,35946,42500
2-Nov-14,2628,97,23833,480,510,532,48191,928462,41143,32526,42500
9-Nov-14,2763,98,23883,480,515,518,47968,928339,35639,29106,42300
16-Nov-14,2865,99,23058,480,515,515,47969,928375,30418,25988,42300
23-Nov-14,2966,99,22430,470,485,513,47970,933640,34528,32843,42300
30-Nov-14,2966,99,22275,465,475,509,47076,941282,42878,44231,41500
7-Dec-14,2966,100,22160,465,472,501,45958,948924,51228,55619,40500
14-Dec-14,2966,102,22120,460,460,500,45959,956566,59579,67007,40500
21-Dec-14,2780,102,22300,460,450,498,45961,953795,63968,70962,40500
28-Dec-14,2780,102,22280,460,445,492,45963,937142,63075,65007,40500
4-Jan-15,2679,103,22250,460,435,485,45968,920489,62182,59053,40500
11-Jan-15,2611,101,22250,460,430,479,45411,903836,61289,53098,40000
18-Jan-15,2476,100,22025,442,430,475,45414,887702,60318,47703,40000
25-Jan-15,2476,99,21783,435,428,467,45418,874774,58862,45761,40000
1-Feb-15,2560,97,21700,410,410,462,45422,862367,57327,44378,40000
8-Feb-15,2560,96,21550,390,395,468,44307,849959,55793,42996,39000
15-Feb-15,2560,95,21058,380,390,468,43751,837551,54258,41613,38500
22-Feb-15,2560,95,21600,370,400,469,43753,840978,60244,43462,38500
1-Mar-15,2560,95,22058,370,390,465,43753,856280,71870,47735,38500
8-Mar-15,2560,93,21813,370,390,456,42298,871582,83496,52008,37200
15-Mar-15,2560,93,21417,370,387,438,42298,886884,95122,56282,37200
22-Mar-15,2560,92,21170,370,387,437,42298,889344,95728,52961,37200
29-Mar-15,1900,91,21192,370,387,448,42073,882171,88069,43946,37000
5-Apr-15,1900,89,21483,375,390,443,42071,874999,80410,34930,37000
12-Apr-15,1900,87,21600,375,390,439,42070,867826,72752,25915,37000
19-Apr-15,1900,86,21183,370,380,435,41500,863029,67465,18875,36500
26-Apr-15,1900,82,21070,370,373,439,41500,866779,70719,18947,36500
3-May-15,1900,81,20800,365,360,450,41500,871242,74685,19612,36500
10-May-15,1867,78,20520,368,363,456,41000,875706,78651,20277,35500
17-May-15,1782,78,20450,370,365,458,41000,880024,82405,20847,35000
24-May-15,1782,79,20450,363,358,453,40500,882601,83632,20274,35000
31-May-15,1782,80,20550,360,355,442,40500,884696,84156,19383,35000
7-Jun-15,1782,81,20533,360,355,443,38500,886790,84680,18492,34500
14-Jun-15,1782,82,20500,360,355,445,38500,888884,85203,17601,34500
21-Jun-15,1782,85,20420,350,355,442,38500,889883,86149,18851,34500
28-Jun-15,1782,84,20150,348,348,436,38500,889424,87657,22953,34500
5-Jul-15,1782,84,19800,340,345,429,38500,888964,89166,27056,34500
12-Jul-15,1782,81,18933,310,345,423,38000,888504,90674,31158,34000
19-Jul-15,1782,78,18500,305,340,419,37500,886877,93269,33861,33500
26-Jul-15,1782,74,17640,309,338,418,37000,881049,99779,31523,33500
2-Aug-15,1782,76,17000,310,330,419,37000,874872,106614,28766,33500
9-Aug-15,1782,77,17080,310,330,415,36500,868694,113449,26009,33000
16-Aug-15,1748,75,17190,310,333,422,36250,862702,119972,23247,32500
23-Aug-15,1714,76,17967,310,330,423,36000,862827,116195,20342,32500
30-Aug-15,1638,75,18950,300,330,428,36000,865732,107736,17371,32500
6-Sep-15,1427,74,18717,300,320,417,36000,868638,99276,14401,32000
13-Sep-15,1410,74,18433,297,313,416,36000,871544,90817,11430,32500
20-Sep-15,1370,74,18000,293,305,410,36800,875315,83942,9218,32500
27-Sep-15,1359,74,18000,280,300,401,36800,880992,80553,8675,32500
4-Oct-15,1494,75,17667,280,300,396,36800,886726,77269,8183,32833
11-Oct-15,1494,75,17067,280,300,395,36800,892461,73986,7691,33000
18-Oct-15,1494,75,16825,275,285,392,36650,896012,71225,7169,32750
25-Oct-15,1494,75,16540,270,285,382,36500,886102,71689,6467,32500
1-Nov-15,1494,75,15733,270,270,370,36500,874008,72676,5736,32500
8-Nov-15,1494,75,15380,265,270,364,36500,861914,73663,5006,32000
15-Nov-15,1494,74,15300,265,270,354,36500,849820,74649,4275,31500
22-Nov-15,1393,72,15460,260,270,349,36500,848625,75107,4854,31500
29-Nov-15,1393,71,15620,255,270,343,36000,855604,75168,6415,31500
6-Dec-15,1393,71,15520,255,270,343,34250,862583,75229,7977,31000
13-Dec-15,1393,71,15483,255,270,350,33000,869562,75290,9538,29688
20-Dec-15,1393,73,15550,255,270,349,33000,883246,75505,10152,29250
27-Dec-15,1393,74,15500,258,270,350,33000,911681,76058,8681,29750
3-Jan-16,1393,74,16000,263,270,345,33000,940563,76622,7146,30250
10-Jan-16,1393,74,15800,270,255,346,33000,969446,77185,5611,30500
17-Jan-16,1393,74,15350,272,257,347,33000,995854,77422,4177,29500
24-Jan-16,1393,74,15342,275,255,350,33000,992580,73733,3952,29500
31-Jan-16,1393,74,15125,275,250,350,33000,981060,68955,4062,28500
7-Feb-16,1393,71,14950,275,250,356,33000,969541,64176,4172,28000
14-Feb-16,1317,71,15517,275,250,365,33750,958021,59397,4283,29500
21-Feb-16,1291,72,15733,275,250,360,35000,959342,59250,4718,32333
28-Feb-16,1291,74,15767,275,250,363,36500,977782,65280,5585,33000
6-Mar-16,1291,74,15880,283,258,362,37750,996222,71310,6453,34000
13-Mar-16,1291,75,16200,310,278,370,39000,1014663,77339,7321,34500
20-Mar-16,1291,76,16083,345,305,381,39000,1023746,79252,7684,34500
27-Mar-16,1291,77,15975,355,330,392,39000,1012246,72108,6937,34500
3-Apr-16,1291,78,16300,365,360,396,39000,1000121,64689,6156,34500
10-Apr-16,1291,78,16500,365,380,417,39500,987997,57270,5375,35000
17-Apr-16,1291,80,16567,395,415,419,39500,977355,50363,5221,35000
24-Apr-16,1291,83,16920,423,422,423,39400,984497,49603,12585,34833
1-May-16,1291,87,16700,465,455,449,39000,996579,50551,22037,34500
8-May-16,1291,87,16333,490,480,466,40750,1008661,51498,31490,35000
15-May-16,1291,87,16200,418,470,481,41000,1020743,52446,40942,35500
22-May-16,1291,86,16183,385,470,489,41000,1026300,53218,43336,35250
29-May-16,1291,83,16300,370,470,489,41000,1026962,53860,40435,35000
5-Jun-16,1291,83,16200,350,420,492,41000,1027624,54502,37535,35000
12-Jun-16,1291,84,16180,335,400,499,41000,1028287,55143,34634,35000
19-Jun-16,1291,85,15967,335,395,493,40833,1028905,54918,31876,35000
26-Jun-16,1224,85,16000,330,378,489,40500,1029365,51570,29631,35000
3-Jul-16,1291,86,16017,325,362,471,39500,1029811,47962,27429,34500
10-Jul-16,1224,86,15733,338,355,462,38500,1030257,44354,25226,34000
17-Jul-16,1224,88,15675,353,358,463,38500,1030781,40826,23929,34000
24-Jul-16,1224,89,15667,365,350,458,38500,1032224,38263,33492,34000
31-Jul-16,1224,91,15558,365,350,461,38000,1033923,35967,46073,33850
7-Aug-16,1224,94,15333,365,350,463,38000,1035622,33671,58653,33350
14-Aug-16,1224,96,15233,380,390,464,39000,1037321,31376,71233,34000
21-Aug-16,1224,102,15125,385,390,473,39500,1037095,30612,76822,34500
28-Aug-16,1224,114,15183,395,375,481,40000,1034302,31891,73089,35000
4-Sep-16,1224,131,15392,405,375,481,40000,1031508,33169,69356,35000
11-Sep-16,1224,153,15408,395,375,492,41750,1028715,34448,65623,36250
18-Sep-16,1224,169,15933,390,375,498,42250,1027076,35495,61996,36875
25-Sep-16,1240,178,16300,385,385,493,42000,1032557,35114,59020,37500
